,ALG,SIZE,TIME
0,insertion,100,0.00038035700000005335
1,insertion,1000,0.006599812000000149
2,insertion,10000,0.09756010399999981
3,insertion,100000,1.1385386969999995
4,merge,100,0.002573437000000567
5,merge,1000,0.0432419770000001
6,merge,10000,0.4759019149999997
7,merge,100000,7.5990510790000005
8,quick,100,0.0015546899999989705
9,quick,1000,0.02998865400000028
10,quick,10000,0.28222118999999424
11,quick,100000,3.3543123219999984
12,bucket,100,0.0004937389999994934
13,bucket,1000,0.007176246000000219
14,bucket,10000,0.12948277399999597
15,bucket,100000,1.460609286999997
16,counting,100,0.0003116980000044123
17,counting,1000,0.0036670710000024087
18,counting,10000,0.04849909300000377
19,counting,100000,0.7288669339999956
20,radix,100,0.0005560900000034508
21,radix,1000,0.008334239999996385
22,radix,10000,0.10980174800000242
23,radix,100000,1.7182113869999966
24,sorted,100,2.6993000005859358e-05
25,sorted,1000,0.0005919899999895506
26,sorted,10000,0.009258418000001711
27,sorted,100000,0.14399076400000865
